Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"2 V1","Patrol Boulder > Difficult Campground > Independence Pass > Colorado",https://www.mountainproject.com/route/108143810/2-v1,2.0,-1,Boulder,V1,1,,39.12042,-106.70159
"Order of the Centurion","The White Stripe Boulder > Difficult Campground > Independence Pass > Colorado",https://www.mountainproject.com/route/117655623/order-of-the-centurion,1.0,-1,Boulder,V-easy,1,11,39.14246,-106.77156
"Black Body Spectrum","Ivory Field > Independence Pass > Colorado",https://www.mountainproject.com/route/106510584/black-body-spectrum,4.0,-1,Boulder,V3-,1,12,39.12042,-106.70159
"Sad But True","ICBJ Boulder > Independence Pass > Colorado",https://www.mountainproject.com/route/106817358/sad-but-true,1.0,-1,Boulder,V3-4,1,10,39.12042,-106.70159
V0,"South Boulders > Independence Pass > Colorado",https://www.mountainproject.com/route/106537398/v0,1.5,-1,Boulder,V0,1,,39.1172,-106.53776
V1,"South Boulders > Independence Pass > Colorado",https://www.mountainproject.com/route/106537376/v1,2.5,-1,Boulder,V1,1,15,39.1172,-106.53776
V2,"South Boulders > Independence Pass > Colorado",https://www.mountainproject.com/route/106537384/v2,3.0,-1,Boulder,V2,1,,39.1172,-106.53776
V3,"South Boulders > Independence Pass > Colorado",https://www.mountainproject.com/route/106537408/v3,2.0,-1,Boulder,V3,1,,39.1172,-106.53776
"Mountain Dog","North Boulders > Independence Pass > Colorado",https://www.mountainproject.com/route/109135004/mountain-dog,2.0,-1,Boulder,V0,1,13,39.12042,-106.70159
Princeton,"North Boulders > Independence Pass > Colorado",https://www.mountainproject.com/route/109134999/princeton,2.3,-1,Boulder,V1,1,13,39.12042,-106.70159
